k,tones,rating,scalar_roughness,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11
3,0_6_12,2.36666666666667,2.763426315869701,0.0,0.0,0.0,0.0,0.0,2.7239548265725424,0.0,0.0,0.0,0.0,0.0,0.03947148929715851
3,0_7_8,1.83333333333333,4.702224667164943,2.7522510718571924,0.0,0.0,0.0,0.0,0.0,0.5169342303997502,1.4330393649080009,0.0,0.0,0.0,0.0
3,0_7_9,2.5,3.074265731814533,0.0,1.5868772252446322,0.0,0.0,0.0,0.0,0.5169342303997502,0.0,0.9704542761701506,0.0,0.0,0.0
3,0_7_10,2.16666666666667,2.906177403145639,0.0,0.0,1.1703970549701568,0.0,0.0,0.0,0.5169342303997502,0.0,0.0,1.218846117775732,0.0,0.0
3,0_7_11,2.26666666666667,3.2717523057300095,0.0,0.0,0.0,1.097155090446192,0.0,0.0,0.5169342303997502,0.0,0.0,0.0,1.6576629848840672,0.0
3,0_7_12,3.83333333333333,1.2052952384727333,0.0,0.0,0.0,0.0,0.6488895187758247,0.0,0.5169342303997502,0.0,0.0,0.0,0.0,0.03947148929715851
3,0_8_9,1.2,5.121423938136941,2.7179302970587886,0.0,0.0,0.0,0.0,0.0,0.0,1.4330393649080009,0.9704542761701506,0.0,0.0,0.0
3,0_8_10,1.96666666666667,4.165888485634311,0.0,1.514003002950578,0.0,0.0,0.0,0.0,0.0,1.4330393649080009,0.0,1.218846117775732,0.0,0.0
3,0_8_11,1.63333333333333,4.204781212163173,0.0,0.0,1.1140788623711047,0.0,0.0,0.0,0.0,1.4330393649080009,0.0,0.0,1.6576629848840672,0.0
3,0_8_12,3.2,2.529786249217298,0.0,0.0,0.0,1.0572753950121385,0.0,0.0,0.0,1.4330393649080009,0.0,0.0,0.0,0.03947148929715851
3,0_9_10,1.23333333333333,4.871939455980997,2.682639062035115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9704542761701506,1.218846117775732,0.0,0.0
3,0_9_11,1.53333333333333,4.0715521490029625,0.0,1.4434348879487446,0.0,0.0,0.0,0.0,0.0,0.0,0.9704542761701506,0.0,1.6576629848840672,0.0
3,0_9_12,3.03333333333333,2.0711739369168294,0.0,0.0,1.0612481714495205,0.0,0.0,0.0,0.0,0.0,0.9704542761701506,0.0,0.0,0.03947148929715851
3,0_10_11,1.2,5.5229727360539975,2.646463633394198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.218846117775732,1.6576629848840672,0.0
3,0_10_12,1.8,2.6335623209548205,0.0,1.3752447138819297,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.218846117775732,0.0,0.03947148929715851
3,0_11_12,1.2,4.306635245538862,2.609500771357636,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6576629848840672,0.03947148929715851
4,0_1_2_3,1.4,14.69223832158918,8.803910685084032,4.222478537663106,1.665849098842042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
